=== Building runtime with case_study_instantiation_time feature ===
=== Building inferlib dependencies ===
=== Building std/text-completion ===
=== Building sdk/examples-inferlib cases ===

============================================================
  text-completion (0 inferlib deps, 1000 runs)
============================================================
  Starting engine... installing deps... warm-up... done.
  Run 156/1000: submitting... store+linker=185.6 us, deps=0.3 us, app=140.4 us, total=326.6 us
  Run 157/1000: submitting... store+linker=213.1 us, deps=0.3 us, app=122.8 us, total=336.4 us
  Run 158/1000: submitting... store+linker=339.2 us, deps=0.4 us, app=188.4 us, total=528.4 us
  Run 159/1000: submitting... store+linker=320.5 us, deps=0.4 us, app=167.6 us, total=488.9 us
  Run 160/1000: submitting... store+linker=233.5 us, deps=0.3 us, app=127.8 us, total=361.9 us
  Run 161/1000: submitting... store+linker=301.1 us, deps=0.6 us, app=196.3 us, total=498.4 us
  Run 162/1000: submitting... store+linker=324.7 us, deps=0.6 us, app=162.7 us, total=488.4 us
  Run 163/1000: submitting... store+linker=309.7 us, deps=0.4 us, app=163.0 us, total=473.4 us
  Run 164/1000: submitting... store+linker=232.9 us, deps=0.5 us, app=137.8 us, total=371.5 us
  Run 165/1000: submitting... store+linker=188.0 us, deps=0.4 us, app=116.9 us, total=305.6 us
  Run 166/1000: submitting... store+linker=176.1 us, deps=0.3 us, app=118.2 us, total=294.9 us
  Run 167/1000: submitting... store+linker=304.3 us, deps=0.5 us, app=161.2 us, total=466.5 us
  Run 168/1000: submitting... store+linker=298.8 us, deps=0.5 us, app=160.6 us, total=460.3 us
  Run 169/1000: submitting... store+linker=302.6 us, deps=0.6 us, app=173.9 us, total=477.5 us
  Run 170/1000: submitting... store+linker=307.2 us, deps=0.4 us, app=162.7 us, total=470.7 us
  Run 171/1000: submitting... store+linker=352.3 us, deps=0.5 us, app=215.6 us, total=568.9 us
  Run 172/1000: submitting... store+linker=199.4 us, deps=0.3 us, app=120.6 us, total=320.5 us
  Run 173/1000: submitting... store+linker=316.3 us, deps=0.4 us, app=160.2 us, total=477.3 us
  Run 174/1000: submitting... store+linker=307.5 us, deps=0.4 us, app=190.5 us, total=498.9 us
  Run 175/1000: submitting... store+linker=308.5 us, deps=0.5 us, app=163.1 us, total=472.6 us
  Run 176/1000: submitting... store+linker=349.7 us, deps=0.4 us, app=162.3 us, total=512.9 us
  Run 177/1000: submitting... store+linker=309.0 us, deps=0.4 us, app=199.1 us, total=508.9 us
  Run 178/1000: submitting... store+linker=308.6 us, deps=0.4 us, app=190.3 us, total=499.8 us
  Run 179/1000: submitting... store+linker=197.0 us, deps=0.3 us, app=123.0 us, total=320.6 us
  Run 180/1000: submitting... store+linker=331.9 us, deps=0.6 us, app=161.6 us, total=494.5 us
  Run 181/1000: submitting... store+linker=347.8 us, deps=0.4 us, app=198.0 us, total=546.7 us
  Run 182/1000: submitting... store+linker=241.9 us, deps=0.5 us, app=144.7 us, total=387.4 us
  Run 183/1000: submitting... store+linker=179.2 us, deps=0.3 us, app=122.1 us, total=301.9 us
  Run 184/1000: submitting... store+linker=299.0 us, deps=0.4 us, app=197.6 us, total=497.5 us
  Run 185/1000: submitting... store+linker=399.1 us, deps=0.7 us, app=197.9 us, total=598.2 us
  Run 186/1000: submitting... store+linker=322.4 us, deps=0.6 us, app=182.6 us, total=506.0 us
  Run 187/1000: submitting... store+linker=300.8 us, deps=0.4 us, app=158.2 us, total=459.8 us
  Run 188/1000: submitting... store+linker=180.1 us, deps=0.2 us, app=118.4 us, total=299.0 us
  Run 189/1000: submitting... store+linker=346.1 us, deps=0.5 us, app=179.8 us, total=526.9 us
  Run 190/1000: submitting... store+linker=294.7 us, deps=0.4 us, app=188.2 us, total=483.9 us
  Run 191/1000: submitting... store+linker=184.6 us, deps=0.3 us, app=122.7 us, total=307.8 us
  Run 192/1000: submitting... store+linker=362.1 us, deps=0.7 us, app=182.8 us, total=546.1 us
  Run 193/1000: submitting... store+linker=373.7 us, deps=0.5 us, app=186.7 us, total=561.5 us
  Run 194/1000: submitting... store+linker=390.9 us, deps=0.6 us, app=181.8 us, total=574.0 us
  Run 195/1000: submitting... store+linker=343.5 us, deps=0.5 us, app=180.9 us, total=525.4 us
  Run 196/1000: submitting... store+linker=272.9 us, deps=0.4 us, app=115.8 us, total=389.4 us
  Run 197/1000: submitting... store+linker=343.1 us, deps=0.4 us, app=167.1 us, total=511.0 us
  Run 198/1000: submitting... store+linker=362.2 us, deps=0.4 us, app=166.4 us, total=529.4 us
  Run 199/1000: submitting... store+linker=344.4 us, deps=0.6 us, app=198.0 us, total=543.6 us
  Run 200/1000: submitting... store+linker=197.8 us, deps=0.4 us, app=118.6 us, total=316.9 us
  Run 201/1000: submitting... store+linker=190.9 us, deps=0.3 us, app=118.6 us, total=309.9 us
  Run 202/1000: submitting... store+linker=306.2 us, deps=0.5 us, app=188.7 us, total=495.9 us
  Run 203/1000: submitting... store+linker=300.5 us, deps=0.5 us, app=159.7 us, total=461.2 us
  Run 204/1000: submitting... store+linker=297.2 us, deps=0.4 us, app=154.7 us, total=452.8 us
  Run 205/1000: submitting... store+linker=348.3 us, deps=0.5 us, app=160.2 us, total=509.5 us
  Run 206/1000: submitting... store+linker=306.9 us, deps=0.4 us, app=159.4 us, total=467.2 us
  Run 207/1000: submitting... store+linker=289.5 us, deps=0.4 us, app=151.8 us, total=442.2 us
  Run 208/1000: submitting... store+linker=324.8 us, deps=0.5 us, app=157.9 us, total=483.6 us
  Run 209/1000: submitting... store+linker=318.8 us, deps=0.5 us, app=162.0 us, total=481.8 us
  Run 210/1000: submitting... store+linker=355.2 us, deps=0.6 us, app=209.3 us, total=565.5 us
  Run 211/1000: submitting... store+linker=352.5 us, deps=0.6 us, app=219.3 us, total=573.1 us
  Run 212/1000: submitting... store+linker=317.4 us, deps=0.5 us, app=155.2 us, total=473.6 us
  Run 213/1000: submitting... store+linker=352.4 us, deps=0.7 us, app=216.9 us, total=570.5 us
  Run 214/1000: submitting... store+linker=322.2 us, deps=0.5 us, app=157.0 us, total=480.1 us
  Run 215/1000: submitting... store+linker=296.9 us, deps=0.6 us, app=173.8 us, total=471.7 us
  Run 216/1000: submitting... store+linker=222.3 us, deps=0.3 us, app=130.8 us, total=353.7 us
  Run 217/1000: submitting... store+linker=311.0 us, deps=0.5 us, app=158.9 us, total=470.8 us
  Run 218/1000: submitting... store+linker=179.0 us, deps=0.3 us, app=119.0 us, total=298.8 us
  Run 219/1000: submitting... store+linker=157.5 us, deps=0.3 us, app=124.5 us, total=282.5 us
  Run 220/1000: submitting... store+linker=311.3 us, deps=0.5 us, app=162.4 us, total=474.7 us
  Run 221/1000: submitting... store+linker=321.5 us, deps=0.6 us, app=166.8 us, total=489.4 us
  Run 222/1000: submitting... store+linker=176.9 us, deps=0.3 us, app=139.8 us, total=317.2 us
  Run 223/1000: submitting... store+linker=160.0 us, deps=0.4 us, app=118.8 us, total=279.5 us
  Run 224/1000: submitting... store+linker=167.1 us, deps=0.2 us, app=141.0 us, total=308.6 us
  Run 225/1000: submitting... store+linker=300.7 us, deps=0.4 us, app=174.5 us, total=476.0 us
  Run 226/1000: submitting... store+linker=300.5 us, deps=0.6 us, app=157.0 us, total=458.5 us
  Run 227/1000: submitting... store+linker=318.3 us, deps=0.5 us, app=156.3 us, total=475.7 us
  Run 228/1000: submitting... store+linker=300.3 us, deps=0.6 us, app=163.6 us, total=464.9 us
  Run 229/1000: submitting... store+linker=306.8 us, deps=0.4 us, app=175.5 us, total=483.2 us
  Run 230/1000: submitting... store+linker=319.5 us, deps=0.7 us, app=162.5 us, total=483.2 us
  Run 231/1000: submitting... store+linker=201.7 us, deps=0.4 us, app=133.9 us, total=336.4 us
  Run 232/1000: submitting... store+linker=160.8 us, deps=0.4 us, app=119.0 us, total=306.4 us
  Run 233/1000: submitting... store+linker=351.0 us, deps=0.5 us, app=153.2 us, total=505.0 us
  Run 234/1000: submitting... store+linker=311.0 us, deps=0.6 us, app=166.3 us, total=478.4 us
  Run 235/1000: submitting... store+linker=352.1 us, deps=0.5 us, app=183.3 us, total=536.3 us
  Run 236/1000: submitting... store+linker=191.2 us, deps=0.3 us, app=109.4 us, total=301.2 us
  Run 237/1000: submitting... store+linker=297.3 us, deps=0.4 us, app=172.1 us, total=470.3 us
  Run 238/1000: submitting... store+linker=298.1 us, deps=0.4 us, app=182.2 us, total=481.3 us
  Run 239/1000: submitting... store+linker=180.0 us, deps=0.3 us, app=114.7 us, total=295.2 us
  Run 240/1000: submitting... store+linker=318.9 us, deps=0.6 us, app=155.8 us, total=475.8 us
  Run 241/1000: submitting... store+linker=377.7 us, deps=0.6 us, app=190.8 us, total=569.5 us
